"","Station","Cam","Habitat","Cluster","Vertcover_50","Dcrops","MSAVI","Slope","Effort","Dpop_G","X","utm_x","utm_y","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to"
"35","C4T3P11","Moultrie","Columnar","4",-0.701088354210806,-0.228214821362936,0.724788241890958,0.507517904751349,0.717672015496517,-1.27016484263489,35,695294,2008871,"2018-04-26","2018-08-23",NA,NA,NA,NA,NA,NA
"36","C4T3P21","Primos","Columnar","4",-0.0245863057896353,0.499935526951777,0.0252413684391195,-1.02586941790604,0.717672015496517,-1.12696975131152,36,694885,2008583,"2018-04-26","2018-08-23",NA,NA,NA,NA,NA,NA
"37","C5T1P1","MoultrieA30","Scrub","5",-1.15096221641088,-1.61891290634996,0.354356457207243,-0.655360591519898,0.77212730999059,1.01972359003375,37,690737,2006371,"2018-04-25","2018-08-24",NA,NA,NA,NA,NA,NA
"38","C5T1P11","Moultrie","Columnar","5",-1.15096221641088,-0.827482952348395,-0.381796303813331,-0.752595614848395,-0.698165641349386,1.26681684958559,38,690234,2006350,"2018-04-25","2018-08-24",NA,NA,NA,NA,"2018-07-01","2018-08-24"
"39","C5T1P21","MoultrieA30","Scrub","5",-0.0245863057896353,-0.044565789916299,0.196800443848434,-0.207388678904066,0.77212730999059,1.5116725586441,39,689737,2006329,"2018-04-25","2018-08-24",NA,NA,NA,NA,NA,NA
"40","C5T2P1","Primos","Scrub","5",-0.924334030189792,-1.29900745172107,0.85180061528437,-1.02586941790604,0.77212730999059,1.0698899453528,40,690781,2005872,"2018-04-25","2018-08-24",NA,NA,NA,NA,NA,NA
"41","C5T2P11","MoultrieA30","Columnar","5",0.540292904642042,-0.691795690409217,-0.07226009800355,1.00538428660497,0.77212730999059,1.31334036184543,41,690276,2005852,"2018-04-25","2018-08-24",NA,NA,NA,NA,NA,NA
"42","C5T2P21","Primos","Scrub","5",-0.0245863057896353,0.0230457247819552,0.684279051094657,0.708175254505368,0.309257306790968,1.5520895840588,42,689785,2005827,"2018-04-25","2018-08-24",NA,NA,"2018-06-03","2018-06-20",NA,NA
"43","C5T3P1","MoultrieA30","Scrub","5",2.23154802569497,-1.21921386019341,0.289677363106772,-1.02586941790604,0.77212730999059,1.13774292337908,43,690826,2005375,"2018-04-25","2018-08-24",NA,NA,NA,NA,NA,NA
"44","C5T3P11","Moultrie","Scrub","5",-0.0245863057896353,-0.474097838128077,-0.485089258447019,-0.773487898338831,0.744899662743553,1.37473754353513,44,690322,2005357,"2018-04-25","2018-08-24",NA,NA,NA,NA,"2018-08-23","2018-08-24"
"45","C5T3P21","MoultrieA30","Columnar","5",0.878543928852627,0.285139794999048,0.969223622776667,0.026793026894523,0.77212730999059,1.60860577071506,45,689829,2005339,"2018-04-25","2018-08-24",NA,NA,NA,NA,NA,NA
"46","C6T1P1","MoultrieA30","Columnar","6",0.202041880431457,-0.0990195310560098,0.21082267025388,0.904762501470376,-0.126385049161617,-1.56623631708037,46,695723,2007722,"2018-01-27","2018-04-25",NA,NA,NA,NA,NA,NA
"47","C6T1P11","Primos","Columnar","6",-0.701088354210806,0.684378663241671,0.841911736250094,1.11283653463009,-0.915986819325678,-1.33042848898932,47,695315,2007424,"2018-01-26","2018-04-25","2018-02-16","2018-02-26","2018-02-26","2018-03-18",NA,NA
"48","C6T1P21","MoultrieA30","Columnar","6",-1.15096221641088,0.79474904750428,0.588320696211605,2.72121879796887,-0.126385049161617,-1.08967621629179,48,694906,2007145,"2018-01-27","2018-04-25",NA,NA,NA,NA,NA,NA
"49","C6T2P1","Primos","Columnar","6",-0.924334030189792,-0.0519977736380911,0.627799554928941,0.167606226685729,-1.59667800050159,-1.61804769062233,49,696012,2007314,"2018-01-25","2018-04-25","2018-01-25","2018-02-26",NA,NA,"2018-04-01","2018-04-25"
"50","C6T2P11","Moultrie","Columnar","6",0.428670066652549,0.715993656905257,0.381514346543385,0.584715055921705,-1.43331211701937,-1.37446914382838,50,695603,2007026,"2018-01-25","2018-04-25","2018-01-26","2018-02-25","2018-02-26","2018-03-18",NA,NA
"51","C6T2P21","Primos","Columnar","6",-0.0245863057896353,0.844929691361604,0.827156289963153,0.591179914708139,-0.943214466572715,-1.12767110157569,51,695195,2006737,"2018-01-25","2018-04-25","2018-01-25","2018-02-26",NA,NA,NA,NA
"52","C6T3P1","MoultrieA30","Columnar","6",1.10517211507372,-0.0813528288679116,-0.0684070994105981,1.58373343592155,-2.14123094544232,-1.63492298644339,52,696300,2006906,"2018-01-25","2018-04-25","2018-01-25","2018-02-26","2018-02-27","2018-03-18","2018-03-31","2018-04-25"
"53","C6T3P11","Primos","Columnar","6",-0.701088354210806,0.591584911037259,1.35284619127394,1.00538428660497,-0.0719297546675442,-1.38458399310072,53,695892,2006617,"2018-01-25","2018-04-25",NA,NA,NA,NA,NA,NA
"54","C6T3P21","MoultrieA30","Columnar","6",-0.474460167989714,1.08816615732205,1.35813926246786,0.847015171447942,-0.0719297546675442,-1.1340678265035,54,695483,2006329,"2018-01-25","2018-04-25",NA,NA,NA,NA,NA,NA
"55","CB18P10","MoultrieA30","Columnar","7",0.428670066652549,-1.66833439434505,0.487136352565351,-0.959590784089255,0.799354957237626,1.19358877606743,55,690208,2007495,"2018-04-22","2018-08-22",NA,NA,NA,NA,NA,NA
"56","CB18P11","MoultrieA30","Columnar","8",0.202041880431457,-0.879237186922725,0.555912851885938,0.584715055921705,0.8538102517317,-0.187197711152532,56,694249,2010999,"2018-04-23","2018-08-25",NA,NA,NA,NA,NA,NA
"57","CB18P12","MoultrieA30","Scrub","9",-1.15096221641088,1.27249596910952,-0.302507918588965,-1.02586941790604,0.77212730999059,1.92381375550051,57,689557,2004377,"2018-04-25","2018-08-24",NA,NA,NA,NA,NA,NA
"58","CB18P13","MoultrieA30","salt","10",0.428670066652549,1.70944406450434,-2.18327442206429,-0.354849361255212,-0.589255052361239,-0.542304666460276,58,693677,2008438,"2018-04-23","2018-08-25",NA,NA,NA,NA,"2018-07-03","2018-08-25"
"59","CB18P14","MoultrieA30","Scrub","11",2.23154802569497,0.422841744917008,0.0635604889568377,-0.744672984542026,0.69044436824948,-0.742828552969675,59,694097,2007477,"2018-04-26","2018-08-22",NA,NA,NA,NA,NA,NA
"60","CB18P15","Primos","Columnar","12",-1.15096221641088,-1.11507502237765,-2.95528547391168,-1.02586941790604,0.69044436824948,-0.48410637265427,60,693883,2006474,"2018-04-26","2018-08-22",NA,NA,NA,NA,NA,NA
"61","CB18P26","MoultrieA30","Scrub","13",-0.0245863057896353,-1.79725019885205,0.390147651226474,0.118277193328737,1.4528184911665,0.612511478396112,61,691499,2006677,"2018-02-25","2018-08-22","2018-04-03","2018-04-20","2018-05-05","2018-05-20",NA,NA
"62","CB18P27","Primos","crop","14",-1.15096221641088,-1.94787111035117,0.564891201219142,-0.474321249125096,0.336484954038004,0.7239828866268,62,691591,2005687,"2018-02-25","2018-08-25","2018-05-10","2018-05-20",NA,NA,"2018-06-20","2018-08-25"
"63","CB18P28","MoultrieA30","Columnar","15",-0.0245863057896353,-1.28032889731122,1.83893022868242,3.79063139725402,2.32410320307168,0.122059818432417,63,692499,2006719,"2018-02-25","2018-08-22",NA,NA,NA,NA,NA,NA
"64","CB18P29","MoultrieA30","crop","16",1.21679495306321,-1.94787111035117,0.658434243551388,-1.02586941790604,2.37855849756575,0.264556774619934,64,692588,2005723,"2018-02-25","2018-08-24",NA,NA,NA,NA,NA,NA
"65","CB18P30","Primos","Columnar","17",1.78167416349489,-0.686240069429162,-0.97154470766763,2.01320650326415,2.35133085031871,-1.59879468534959,65,695790,2008315,"2018-02-27","2018-08-25",NA,NA,NA,NA,NA,NA
"66","CB18P32","MoultrieA30","Columnar","18",2.00491983947388,-0.627766370494536,-0.803052691022608,0.337683635841236,1.53450143290761,-1.81462617411953,66,696367,2007499,"2018-02-27","2018-08-25","2018-04-22","2018-05-22",NA,NA,NA,NA
"67","CB18P9","Primos","Scrub","19",-1.15096221641088,-1.74803605044661,-0.57365790707344,1.67473078477979,0.799354957237626,1.38676935007928,67,689821,2008533,"2018-04-22","2018-08-22",NA,NA,NA,NA,NA,NA
